MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.595,cl069,STIM,10,1,24,5,2,2024-02-08,6407.0254718693,FALSE,cl069,cl069,CONTROL,,salmon,2,27.9970860955633,6379.02838577374,5815.49729385022,1.09690161708431,1
0.022,cl204,STIM,2,1,24,5,2,2024-02-08,47.3796841617226,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,27.9970860955633,19.3825980661592,5815.49729385022,0.00333292186149858,0.00271571410936921
0.013,EDLD_1,STIM,2,1,24,5,2,2024-02-08,27.9970860955633,FALSE,cl375,CHARMS-EDLD_1,SAMPLE,,#A6529A,46,27.9970860955633,-3.5527136788005e-15,5815.49729385022,0,0
0.028,EDLD_3,STIM,2,1,24,5,2,2024-02-08,60.3014162058287,FALSE,cl377,CHARMS-EDLD_3,SAMPLE,,#A6529A,48,27.9970860955633,32.3043301102654,5815.49729385022,0.0055548697691643,0.00419701271447969
0.485,cl069,STIM,10,1,24,5,2,2024-02-08,5222.53336782624,FALSE,cl069,cl069,CONTROL,,salmon,2,27.9970860955633,5194.53628173067,5815.49729385022,0.89322305888162,1
0.024,cl204,STIM,2,1,24,5,2,2024-02-08,51.6869281764246,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,27.9970860955633,23.6898420808613,5815.49729385022,0.00407357116405382,0.00271571410936921
0.01,EDLD_1,STIM,2,1,24,5,2,2024-02-08,21.5362200735103,FALSE,cl375,CHARMS-EDLD_1,SAMPLE,,#A6529A,46,27.9970860955633,-6.46086602205308,5815.49729385022,0,0
0.022,EDLD_3,STIM,2,1,24,5,2,2024-02-08,47.3796841617226,FALSE,cl377,CHARMS-EDLD_3,SAMPLE,,#A6529A,48,27.9970860955633,19.3825980661592,5815.49729385022,0.00333292186149858,0.00419701271447969
0.548,cl069,STIM,10,1,24,5,2,2024-02-08,5900.92430014181,FALSE,cl069,cl069,CONTROL,,salmon,2,27.9970860955633,5872.92721404625,5815.49729385022,1.00987532403407,1
0.015,cl204,STIM,2,1,24,5,2,2024-02-08,32.3043301102654,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,27.9970860955633,4.30724401470205,5815.49729385022,0.000740649302555239,0.00271571410936921
