GCA_000024725.1
GCA_001610855.1
GCA_001865855.1
GCA_002356035.1
GCA_002368175.1
GCA_963875125.1
GCA_000522425.1
GCA_000522445.1
GCA_002218085.1
GCA_012960105.1
GCA_010672925.1
GCA_010672945.1
GCA_010672185.1
GCA_010672525.1
GCA_012031665.1
GCA_012031715.1
GCA_012032385.1
GCA_012033205.1
GCA_012035445.1
GCA_002155185.1
GCA_963873405.1
GCA_002154695.1
GCA_002154725.1
GCA_963873765.1
GCA_002846525.1
GCA_003645185.1
GCA_004193285.1
GCA_004217235.1
GCA_900114745.1
GCA_900445005.1
GCA_007695245.1
GCA_000262465.1
CM001489.1
GCA_000721705.1
GCA_000760695.4
GCA_000316665.1
GCA_000582685.1
GCA_003667075.1
GCA_000583715.2
GCA_900079105.1
GCA_900079095.1
GCA_900091525.1
GCA_002368095.1
GCA_002368455.1
GCA_002870785.1
GCA_003298855.1
GCA_004217665.1
GCA_007990715.1
GCA_009708175.1
GCA_011769525.1
