MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0238,MyD88-GFP-synTRAF6-BD-3xA,,5,2,24,5,6,2022-11-24,41.3129834956905,TRUE,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#63F2C3,21,0,41.3129834956905,4258.00357566861,0.00970243043753276,0.0110341365760177
0.0181,MyD88-GFP-synTRAF6-BD-3xA,,5,2,24,5,6,2022-11-24,31.4186975324369,TRUE,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#63F2C3,21,0,31.4186975324369,4258.00357566861,0.00737873911425811,0.00750103865758835
0.0248,MyD88-GFP-synTRAF6-BD-5xA,,5,2,24,5,6,2022-11-24,43.0488231383665,TRUE,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#A6529A,22,0,43.0488231383665,4258.00357566861,0.0101100955819669,0.0100557402293757
0.0761,MyD88-GFP-synTRAF6-BD-5xA,,5,2,24,5,6,2022-11-24,132.097396807649,TRUE,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#A6529A,22,0,132.097396807649,4258.00357566861,0.0310233174914388,0.0185623529099016
0.0373,MyD88-GFP-synTRAF6-BD-1xA,,5,3,24,5,6,2022-11-24,64.7468186718174,TRUE,cl248 cl249,CHARMS-sT6BM-1xA,SAMPLE,,#446AE1,20,0,64.7468186718174,4442.6824569321,0.0145738119479573,0.00940329957678748
0.0263,MyD88-GFP-synTRAF6-BD-1xA,,5,3,24,5,6,2022-11-24,45.6525826023806,TRUE,cl248 cl249,CHARMS-sT6BM-1xA,SAMPLE,,#446AE1,20,0,45.6525826023806,4442.6824569321,0.0102759049391763,0.00928608393109345
0.0264,MyD88-GFP-synTRAF6-BD-3xA,,5,3,24,5,6,2022-11-24,45.8261665666482,TRUE,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#63F2C3,21,0,45.8261665666482,4442.6824569321,0.0103149768210744,0.00916886828539943
0.0292,MyD88-GFP-synTRAF6-BD-3xA,,5,3,24,5,6,2022-11-24,50.6865175661412,TRUE,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#63F2C3,21,0,50.6865175661412,4442.6824569321,0.0114089895142186,0.0126723136955876
0.0239,MyD88-GFP-synTRAF6-BD-5xA,,5,3,24,5,6,2022-11-24,41.4865674599581,TRUE,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#A6529A,22,0,41.4865674599581,4442.6824569321,0.00933817977362413,0.00909072452160341
0.0364,MyD88-GFP-synTRAF6-BD-5xA,,5,3,24,5,6,2022-11-24,63.1845629934089,TRUE,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#A6529A,22,0,63.1845629934089,4442.6824569321,0.0142221650108752,0.0139616857982219
