CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,PLOTTING_COLOR,ORDER_NO,triplicate_sd_per_day,triplicate_mean_per_day
Amy_1,CHARMS-BASS1_66307 (38-139),STIM,2024-01-31,#A6529A,28,,0
Amy_1,CHARMS-BASS1_66307 (38-139),UNSTIM,2024-01-31,gray50,28,,0.000407175876026921
EDLD_1,CHARMS-EDLD_1,STIM,2024-01-31,#A6529A,46,,0.0160235682977653
EDLD_1,CHARMS-EDLD_1,UNSTIM,2024-01-31,gray50,46,,0.00696989293669613
EDLD_6,CHARMS-EDLD_6,STIM,2024-01-31,#A6529A,51,,0.00617949270676152
EDLD_6,CHARMS-EDLD_6,UNSTIM,2024-01-31,gray50,51,,0.0096045603698115
EDLD_9,CHARMS-EDLD_9,STIM,2024-01-31,#A6529A,54,,0.000838303274173073
EDLD_9,CHARMS-EDLD_9,UNSTIM,2024-01-31,gray50,54,,0.00263466743311538
cl069,cl069,STIM,2024-01-31,salmon,2,,1
cl069,cl069,UNSTIM,2024-01-31,gray50,2,,0.0383703384350076
cl204,tKO_EL4,STIM,2024-01-31,#37aabd,4,,0.0104189121218653
cl204,tKO_EL4,UNSTIM,2024-01-31,gray50,4,,0.000383224353907691
