MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0081,cl204,STIM,10,1,24,5,3,2024-01-31,47.8565901215622,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,30.5258085137537,17.3307816078085,2740.8237231349,0.0063232018394769,0.0104189121218653
0.0057,cl204,UNSTIM,10,1,24,5,3,2024-01-31,33.6768597151734,FALSE,cl204,tKO_EL4,CONTROL,,gray50,4,30.5258085137537,3.15105120141973,2740.8237231349,0.00114967306172307,0.000383224353907691
0.0071,EDLD_1,STIM,10,1,24,5,3,2024-01-31,41.9483691189002,FALSE,cl375,CHARMS-EDLD_1,SAMPLE,,#A6529A,46,30.5258085137537,11.4225606051465,2740.8237231349,0.00416756484874614,0.0160235682977653
0.0078,EDLD_1,UNSTIM,10,1,24,5,3,2024-01-31,46.0841238207636,FALSE,cl375,CHARMS-EDLD_1,SAMPLE,,gray50,46,30.5258085137537,15.5583153070099,2740.8237231349,0.00567651074225767,0.00696989293669613
0.0052,EDLD_6,STIM,10,1,24,5,3,2024-01-31,30.7227492138424,FALSE,cl380,CHARMS-EDLD_6,SAMPLE,,#A6529A,51,30.5258085137537,0.196940700088732,2740.8237231349,7.18545663576914e-05,0.00617949270676152
0.018,EDLD_6,UNSTIM,10,1,24,5,3,2024-01-31,106.347978047916,FALSE,cl380,CHARMS-EDLD_6,SAMPLE,,gray50,51,30.5258085137537,75.8221695341623,2740.8237231349,0.0276640080477114,0.0096045603698115
0.006,EDLD_9,STIM,10,1,24,5,3,2024-01-31,35.449326015972,FALSE,cl383,CHARMS-EDLD_9,SAMPLE,,#A6529A,54,30.5258085137537,4.92351750221833,2740.8237231349,0.0017963641589423,0.000838303274173073
0.0064,EDLD_9,UNSTIM,10,1,24,5,3,2024-01-31,37.8126144170368,FALSE,cl383,CHARMS-EDLD_9,SAMPLE,,gray50,54,30.5258085137537,7.28680590328313,2740.8237231349,0.00265861895523461,0.00263466743311538
0.0038,Amy_1,STIM,10,1,24,5,3,2024-01-31,22.4512398101156,FALSE,cl405,CHARMS-BASS1_66307 (38-139),SAMPLE,,#A6529A,28,30.5258085137537,-8.07456870363806,2740.8237231349,0,0
0.0056,Amy_1,UNSTIM,10,1,24,5,3,2024-01-31,33.0860376149072,FALSE,cl405,CHARMS-BASS1_66307 (38-139),SAMPLE,,gray50,28,30.5258085137537,2.56022910115353,2740.8237231349,0.000934109362649996,0.000407175876026921
0.497,cl069,STIM,10,1,24,,3,2024-01-31,2936.38583832301,FALSE,cl069,cl069,CONTROL,,salmon,2,30.5258085137537,2905.86002980926,2740.8237231349,1.06021412660775,1
0.0239,cl069,UNSTIM,10,1,24,,3,2024-01-31,141.206481963622,FALSE,cl069,cl069,CONTROL,,gray50,2,30.5258085137537,110.680673449868,2740.8237231349,0.0403822662930229,0.0383703384350076
