CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,triplicate_sd_per_day,triplicate_mean_per_day
170_MYD88_KO,MYD88_KO,STIM,2022-06-09,0.0462341959259456,0.0880058965679034
170_MYD88_KO,MYD88_KO,UNSTIM,2022-06-09,0.0555206860583893,0.092365988093632
204_TRIPLE_KO,tKO_EL4,STIM,2022-06-09,0.00442475376115575,0.00279644460470371
204_TRIPLE_KO,tKO_EL4,UNSTIM,2022-06-09,0.000209536174739713,0.000665072535738542
3E10_GFP,MyD88-GFP,STIM,2022-06-09,0.187792869736769,0.776244035947349
3E10_GFP,MyD88-GFP,UNSTIM,2022-06-09,0.0558912446410137,0.0792214655556428
WT_EL4,WT_EL4,STIM,2022-06-09,0,1
WT_EL4,WT_EL4,UNSTIM,2022-06-09,0.0126349235574985,0.0470184927405643
