CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,PLOTTING_COLOR,ORDER_NO,triplicate_sd_per_day,triplicate_mean_per_day
EDLD_1,CHARMS-EDLD_1,STIM,2024-02-08,#A6529A,46,,0
EDLD_1,CHARMS-EDLD_1,UNSTIM,2024-02-08,gray50,46,,0.00271571410936921
EDLD_3,CHARMS-EDLD_3,STIM,2024-02-08,#A6529A,48,,0.00419701271447969
EDLD_3,CHARMS-EDLD_3,UNSTIM,2024-02-08,gray50,48,,0.00691272682384891
cl069,cl069,STIM,2024-02-08,salmon,2,,1
cl069,cl069,UNSTIM,2024-02-08,gray50,2,,0.0371559066781879
cl204,tKO_EL4,STIM,2024-02-08,#37aabd,4,,0.00271571410936921
cl204,tKO_EL4,UNSTIM,2024-02-08,gray50,4,,0.000123441550425873
