MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.033,cl204,UNSTIM,2,1,48,100,1,2024-02-08,71.0695262425839,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,8.6144880294041,9009.67766775302,0.000956137205689016,0.00191227441137803
0.144,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,310.121569058548,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,247.666530845368,9009.67766775302,0.0274889446635592,0.0262937731564479
0.058,cl069,UNSTIM,10,1,48,100,1,2024-02-08,624.550382131798,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,562.095343918618,9009.67766775302,0.0623879526712083,0.0430660133062428
0.048,cl204,UNSTIM,2,1,48,100,1,2024-02-08,103.373856352849,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,40.9188181396695,9009.67766775302,0.00454165172702283,0.00191227441137803
0.145,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,312.275191065899,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,249.820152852719,9009.67766775302,0.0277279789649815,0.0262937731564479
0.073,cl069,UNSTIM,10,1,48,100,1,2024-02-08,786.072032683124,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,723.616994469945,9009.67766775302,0.0803155252778774,0.0430660133062428
0.054,cl204,UNSTIM,2,1,48,100,1,2024-02-08,116.295588396955,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,53.8405501837757,9009.67766775302,0.00597585753555635,0.00191227441137803
0.239,15xTA,STIM,2,1,48,100,1,2024-02-12,315.274272046076,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,287.264549411021,5530.18335379232,0.0519448508364608,0.046196170727053
0.232,15xTA,STIM,2,1,48,100,1,2024-02-12,306.040297551003,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,278.030574915947,5530.18335379232,0.0502751097258444,0.046196170727053
0.1737,15xTA,STIM,2,1,48,100,1,2024-02-12,229.134481399178,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,201.124758764122,5530.18335379232,0.0363685516188538,0.046196170727053
0.0455,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.0208342179769,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.011111582921,5530.18335379232,0.00578843585013676,0.00865084918262197
0.0462,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.9442316674842,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.9345090324283,5530.18335379232,0.0059554099611984,0.00865084918262197
0.0808,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,106.586448457418,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,78.5767258223624,5530.18335379232,0.0142087017365308,0.00865084918262197
0.9429,Cl69,STIM,10,1,48,100,1,2024-02-12,6219.08182243191,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,6191.07209979686,5530.18335379232,1.11950575663126,1
0.7871,Cl69,STIM,10,1,48,100,1,2024-02-12,5191.47237505161,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,5163.46265241655,5530.18335379232,0.933687424464093,1
0.7981,Cl69,STIM,10,1,48,100,1,2024-02-12,5264.02503179861,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,5236.01530916355,5530.18335379232,0.94680681890465,1
0.0282,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,185.998629115049,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,157.988906479993,5530.18335379232,0.0285684752878316,0.0269782456586731
0.028,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,184.679489901467,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,156.669767266411,5530.18335379232,0.0283299408434578,0.0269782456586731
0.0244,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,160.934984056993,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,132.925261421937,5530.18335379232,0.02403632084473,0.0269782456586731
0.0263,Cl204,STIM,2,1,48,100,1,2024-02-12,34.6933613172042,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.68363868214834,5530.18335379232,0.00120857451816042,0.000930284333057693
0.0231,Cl204,STIM,2,1,48,100,1,2024-02-12,30.4721158337421,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,2.46239319868623,5530.18335379232,0.000445264296164366,0.000930284333057693
0.026,Cl204,STIM,2,1,48,100,1,2024-02-12,34.2976195531297,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.28789691807377,5530.18335379232,0.00113701418484829,0.000930284333057693
0.0205,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,27.0423538784292,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-0.967368756626733,5530.18335379232,0,0.000243835209804296
0.0189,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,24.9317311366981,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-3.07799149835779,5530.18335379232,0,0.000243835209804296
0.0243,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,32.0550828900404,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,4.04536025498452,5530.18335379232,0.000731505629412887,0.000243835209804296
0.0219,15xTA,STIM,10,1,24,100,2,2024-01-31,222.3088500405,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2314.27911697412,15047.3321173565,0,0.0883035579084068
0.0212,15xTA,STIM,10,1,24,100,2,2024-01-31,215.203087710438,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2321.38487930419,15047.3321173565,0,0.0883035579084068
0.0171,15xTA,STIM,10,1,24,100,2,2024-01-31,173.583622634363,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2363.00434438026,15047.3321173565,0,0.0883035579084068
0.0106,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,107.601543855219,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2428.98642315941,15047.3321173565,0,0
0.0132,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,133.994375366877,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2402.59359164775,15047.3321173565,0,0
0.0113,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,114.707306185281,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2421.88066082934,15047.3321173565,0,0
0.0082,cl204,STIM,10,1,24,100,2,2024-01-31,83.2389301521507,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2453.34903686247,15047.3321173565,0,0
0.0078,cl204,STIM,10,1,24,100,2,2024-01-31,79.1784945349726,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2457.40947247965,15047.3321173565,0,0
0.0095,cl204,STIM,10,1,24,100,2,2024-01-31,96.4353459079794,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2440.15262110664,15047.3321173565,0,0
0.0351,cl204,UNSTIM,10,1,24,100,2,2024-01-31,356.303225407377,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2180.28474160725,15047.3321173565,0,0.128919950622928
0.0324,cl204,UNSTIM,10,1,24,100,2,2024-01-31,328.895284991425,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2207.6926820232,15047.3321173565,0,0.128919950622928
0.0124,cl204,UNSTIM,10,1,24,100,2,2024-01-31,125.873504132521,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2410.7144628821,15047.3321173565,0,0.128919950622928
0.0088,cl204,STIM,10,1,24,5,2,2024-01-31,89.3295835779178,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2447.25838343671,15047.3321173565,0,0
0.0091,cl204,STIM,10,1,24,5,2,2024-01-31,92.3749102908013,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2444.21305672382,15047.3321173565,0,0
0.01,cl204,STIM,10,1,24,5,2,2024-01-31,101.510890429452,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2435.07707658517,15047.3321173565,0,0
0.0097,cl204,UNSTIM,10,1,24,5,2,2024-01-31,98.4655637165685,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2438.12240329806,15047.3321173565,0,0.128919950622928
1.3965,cl204,UNSTIM,10,1,24,5,2,2024-01-31,14175.995848473,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,11639.4078814584,15047.3321173565,0.773519703737566,0.128919950622928
0.0132,cl204,UNSTIM,10,1,24,5,2,2024-01-31,133.994375366877,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2402.59359164775,15047.3321173565,0,0.128919950622928
0.595,cl069,STIM,10,1,24,5,2,2024-02-08,6407.0254718693,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,6344.57043365612,9009.67766775302,0.70419505198996,1
0.022,cl204,STIM,2,1,24,5,2,2024-02-08,47.3796841617226,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-15.0753540514572,9009.67766775302,0,0.0013146886578224
0.485,cl069,STIM,10,1,24,5,2,2024-02-08,5222.53336782624,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,5160.07832961306,9009.67766775302,0.572726186207721,1
0.024,cl204,STIM,2,1,24,5,2,2024-02-08,51.6869281764246,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-10.7681100367551,9009.67766775302,0,0.0013146886578224
0.548,cl069,STIM,10,1,24,5,2,2024-02-08,5900.92430014181,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,5838.46926192863,9009.67766775302,0.648021991155731,1
0.015,cl204,STIM,2,1,24,5,2,2024-02-08,32.3043301102654,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-30.1507081029144,9009.67766775302,0,0.0013146886578224
0.023,cl069,UNSTIM,10,1,24,5,2,2024-02-08,247.666530845368,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,185.211492632188,9009.67766775302,0.0205569499223139,0.0430660133062428
0.013,cl204,UNSTIM,2,1,24,5,2,2024-02-08,27.9970860955633,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-34.4579521176164,9009.67766775302,0,0.00191227441137803
0.02,cl069,UNSTIM,10,1,24,5,2,2024-02-08,215.362200735103,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,152.907162521923,9009.67766775302,0.01697143540098,0.0430660133062428
0.012,cl204,UNSTIM,2,1,24,5,2,2024-02-08,25.8434640882123,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-36.6115741249674,9009.67766775302,0,0.00191227441137803
0.025,cl069,UNSTIM,10,1,24,5,2,2024-02-08,269.202750918878,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,206.747712705698,9009.67766775302,0.0229472929365364,0.0430660133062428
0.014,cl204,UNSTIM,2,1,24,5,2,2024-02-08,30.1507081029144,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,-32.3043301102654,9009.67766775302,0,0.00191227441137803
