MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0455,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.0208342179769,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.011111582921,5530.18335379232,0.00578843585013676,0.00865084918262197
0.0462,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.9442316674842,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.9345090324283,5530.18335379232,0.0059554099611984,0.00865084918262197
0.0808,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,106.586448457418,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,78.5767258223624,5530.18335379232,0.0142087017365308,0.00865084918262197
0.9429,Cl69,STIM,10,1,48,100,1,2024-02-12,6219.08182243191,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,6191.07209979686,5530.18335379232,1.11950575663126,1
0.7871,Cl69,STIM,10,1,48,100,1,2024-02-12,5191.47237505161,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,5163.46265241655,5530.18335379232,0.933687424464093,1
0.7981,Cl69,STIM,10,1,48,100,1,2024-02-12,5264.02503179861,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,5236.01530916355,5530.18335379232,0.94680681890465,1
0.0282,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,185.998629115049,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,157.988906479993,5530.18335379232,0.0285684752878316,0.0269782456586731
0.028,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,184.679489901467,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,156.669767266411,5530.18335379232,0.0283299408434578,0.0269782456586731
0.0244,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,160.934984056993,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,132.925261421937,5530.18335379232,0.02403632084473,0.0269782456586731
0.0263,Cl204,STIM,2,1,48,100,1,2024-02-12,34.6933613172042,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.68363868214834,5530.18335379232,0.00120857451816042,0.000930284333057693
0.0231,Cl204,STIM,2,1,48,100,1,2024-02-12,30.4721158337421,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,2.46239319868623,5530.18335379232,0.000445264296164366,0.000930284333057693
0.026,Cl204,STIM,2,1,48,100,1,2024-02-12,34.2976195531297,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.28789691807377,5530.18335379232,0.00113701418484829,0.000930284333057693
0.0205,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,27.0423538784292,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-0.967368756626733,5530.18335379232,0,0.000243835209804296
0.0189,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,24.9317311366981,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-3.07799149835779,5530.18335379232,0,0.000243835209804296
0.0243,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,32.0550828900404,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,4.04536025498452,5530.18335379232,0.000731505629412887,0.000243835209804296
0.0219,15xTA,STIM,10,1,24,100,2,2024-01-31,222.3088500405,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-48.0484881366073,17485.4723280104,0,0
0.0212,15xTA,STIM,10,1,24,100,2,2024-01-31,215.203087710438,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-55.154250466669,17485.4723280104,0,0
0.0171,15xTA,STIM,10,1,24,100,2,2024-01-31,173.583622634363,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-96.7737155427442,17485.4723280104,0,0
0.0106,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,107.601543855219,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-162.755794321888,17485.4723280104,0,0
0.0132,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,133.994375366877,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-136.362962810231,17485.4723280104,0,0
0.0113,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,114.707306185281,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-155.650031991826,17485.4723280104,0,0
0.0082,cl204,STIM,10,1,24,100,2,2024-01-31,83.2389301521507,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-187.118408024957,17485.4723280104,0,0
0.0078,cl204,STIM,10,1,24,100,2,2024-01-31,79.1784945349726,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-191.178843642135,17485.4723280104,0,0
0.0095,cl204,STIM,10,1,24,100,2,2024-01-31,96.4353459079794,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-173.921992269128,17485.4723280104,0,0
0.0351,cl204,UNSTIM,10,1,24,100,2,2024-01-31,356.303225407377,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,85.9458872302694,17485.4723280104,0.00491527398391122,0.00275435956841219
0.0324,cl204,UNSTIM,10,1,24,100,2,2024-01-31,328.895284991425,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,58.5379468143173,17485.4723280104,0.00334780472132536,0.00275435956841219
0.0124,cl204,UNSTIM,10,1,24,100,2,2024-01-31,125.873504132521,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-144.483834044587,17485.4723280104,0,0.00275435956841219
