MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.6145,cl069,STIM,10,1,24,100,1,2024-01-31,17437.5719272855,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17167.2145891084,17485.4723280104,0.981798733661188,1
1.6305,cl069,STIM,10,1,24,100,1,2024-01-31,17610.3815592685,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17340.0242210914,17485.4723280104,0.991681774207149,1
1.6869,cl069,STIM,10,1,24,100,1,2024-01-31,18219.5355120086,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17949.1781738315,17485.4723280104,1.02651949213166,1
0.1144,cl069,UNSTIM,10,1,24,100,1,2024-01-31,1235.58886867852,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,965.231530501408,17485.4723280104,0.0552019134739173,0.025367484825797
0.0467,cl069,UNSTIM,10,1,24,100,1,2024-01-31,504.388113350408,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,234.030775173301,17485.4723280104,0.0133842981638191,0.025367484825797
0.0372,cl069,UNSTIM,10,1,24,100,1,2024-01-31,401.782394360496,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,131.425056183389,17485.4723280104,0.00751624283965469,0.025367484825797
0.0198,10xTA,STIM,10,1,24,100,2,2024-01-31,200.991563050315,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-69.3657751267922,17485.4723280104,0,0
0.0185,10xTA,STIM,10,1,24,100,2,2024-01-31,187.795147294486,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-82.562190882621,17485.4723280104,0,0
0.0152,10xTA,STIM,10,1,24,100,2,2024-01-31,154.296553452767,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-116.06078472434,17485.4723280104,0,0
0.0162,10xTA,UNSTIM,10,1,24,100,2,2024-01-31,164.447642495712,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-105.909695681395,17485.4723280104,0,0
0.0141,10xTA,UNSTIM,10,1,24,100,2,2024-01-31,143.130355505527,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-127.22698267158,17485.4723280104,0,0
0.017,10xTA,UNSTIM,10,1,24,100,2,2024-01-31,172.568513730068,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-97.7888244470388,17485.4723280104,0,0
0.0177,12xTA,STIM,10,1,24,100,2,2024-01-31,179.67427606013,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-90.6830621169772,17485.4723280104,0,0.000574093680535563
0.0144,12xTA,STIM,10,1,24,100,2,2024-01-31,146.175682218411,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-124.181655958696,17485.4723280104,0,0.000574093680535563
0.0296,12xTA,STIM,10,1,24,100,2,2024-01-31,300.472235671178,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,30.1148974940708,17485.4723280104,0.00172228104160669,0.000574093680535563
0.0119,12xTA,UNSTIM,10,1,24,100,2,2024-01-31,120.797959611048,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-149.559378566059,17485.4723280104,0,0
0.0108,12xTA,UNSTIM,10,1,24,100,2,2024-01-31,109.631761663808,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-160.725576513299,17485.4723280104,0,0
0.0132,12xTA,UNSTIM,10,1,24,100,2,2024-01-31,133.994375366877,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-136.362962810231,17485.4723280104,0,0
0.0219,15xTA,STIM,10,1,24,100,2,2024-01-31,222.3088500405,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-48.0484881366073,17485.4723280104,0,0
0.0212,15xTA,STIM,10,1,24,100,2,2024-01-31,215.203087710438,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-55.154250466669,17485.4723280104,0,0
0.0171,15xTA,STIM,10,1,24,100,2,2024-01-31,173.583622634363,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-96.7737155427442,17485.4723280104,0,0
