MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.353,10xTA,STIM,2,1,48,100,1,2024-02-08,760.228568594912,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,96.9129903307962,663.315578264116,12203.8580416558,0.0543529411764706,0.0463529411764706
0.176,12xTA,STIM,2,1,48,100,1,2024-02-08,379.037473293781,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,96.9129903307962,282.124482962984,12203.8580416558,0.0231176470588235,0.0182352941176471
0.233,15xTA,STIM,2,1,48,100,1,2024-02-08,501.793927712789,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,404.880937381993,12203.8580416558,0.0331764705882353,0.0277058823529412
0.125,BASS1_66306,STIM,2,1,48,100,1,2024-02-08,269.202750918878,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,#A6529A,26,96.9129903307962,172.289760588082,12203.8580416558,0.0141176470588235,0.01
0.165,BASS1_66307,STIM,2,1,48,100,1,2024-02-08,355.347631212919,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,96.9129903307962,258.434640882123,12203.8580416558,0.0211764705882353,0.017
1.247,cl069,STIM,10,1,48,100,1,2024-02-08,13427.8332158337,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,13330.9202255029,12203.8580416558,1.09235294117647,1
0.049,cl204,STIM,2,1,48,100,1,2024-02-08,105.5274783602,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,8.6144880294041,12203.8580416558,0.000705882352941176,0.000235294117647059
0.299,10xTA,STIM,2,1,48,100,1,2024-02-08,643.932980197957,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,96.9129903307962,547.019989867161,12203.8580416558,0.0448235294117647,0.0463529411764706
0.136,12xTA,STIM,2,1,48,100,1,2024-02-08,292.89259299974,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,96.9129903307962,195.979602668943,12203.8580416558,0.0160588235294118,0.0182352941176471
0.2,15xTA,STIM,2,1,48,100,1,2024-02-08,430.724401470205,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,333.811411139409,12203.8580416558,0.0273529411764706,0.0277058823529412
0.09,BASS1_66306,STIM,2,1,48,100,1,2024-02-08,193.825980661592,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,#A6529A,26,96.9129903307962,96.9129903307962,12203.8580416558,0.00794117647058824,0.01
0.128,BASS1_66307,STIM,2,1,48,100,1,2024-02-08,275.663616940931,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,96.9129903307962,178.750626610135,12203.8580416558,0.0146470588235294,0.017
1.122,cl069,STIM,10,1,48,100,1,2024-02-08,12081.8194612393,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,11984.9064709085,12203.8580416558,0.982058823529412,1
0.039,cl204,STIM,2,1,48,100,1,2024-02-08,83.99125828669,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,-12.9217320441062,12203.8580416558,0,0.000235294117647059
0.271,10xTA,STIM,2,1,48,100,1,2024-02-08,583.631563992128,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,96.9129903307962,486.718573661332,12203.8580416558,0.0398823529411765,0.0463529411764706
